Code,FTSE100(PI)
31/12/1984,1232.2
01/01/1985,1232.2
02/01/1985,1220
03/01/1985,1206.1
04/01/1985,1214.6
07/01/1985,1229
08/01/1985,1243.5
09/01/1985,1259.2
10/01/1985,1261
11/01/1985,1248.6
14/01/1985,1220.5
15/01/1985,1233.2
16/01/1985,1254.1
17/01/1985,1260.4
18/01/1985,1277.9
21/01/1985,1279
22/01/1985,1305.7
23/01/1985,1283.7
24/01/1985,1274.7
25/01/1985,1288
28/01/1985,1265
29/01/1985,1249.3
30/01/1985,1277.3
31/01/1985,1280.8
01/02/1985,1272.6
04/02/1985,1268.2
05/02/1985,1289.1
06/02/1985,1289.5
07/02/1985,1296.3
08/02/1985,1295.3
11/02/1985,1297.5
12/02/1985,1273
13/02/1985,1282
14/02/1985,1289.8
15/02/1985,1281.5
18/02/1985,1268.7
19/02/1985,1275.9
20/02/1985,1275.8
21/02/1985,1279.1
22/02/1985,1268.9
25/02/1985,1259.4
26/02/1985,1259.5
27/02/1985,1256.9
28/02/1985,1259.7
01/03/1985,1250.8
04/03/1985,1265.7
05/03/1985,1274.9
06/03/1985,1285.4
07/03/1985,1285.8
08/03/1985,1288.6
11/03/1985,1290.8
12/03/1985,1300
13/03/1985,1295.2
14/03/1985,1299.7
15/03/1985,1309.9
18/03/1985,1300.3
19/03/1985,1304.5
20/03/1985,1307.2
21/03/1985,1300.7
22/03/1985,1302.9
25/03/1985,1297.8
26/03/1985,1290.4
27/03/1985,1288
28/03/1985,1287.1
29/03/1985,1277
01/04/1985,1278.3
02/04/1985,1286.8
03/04/1985,1274.8
04/04/1985,1278.5
05/04/1985,1278.5
08/04/1985,1278.5
09/04/1985,1270.2
10/04/1985,1273.1
11/04/1985,1269.3
12/04/1985,1275.8
15/04/1985,1288.5
16/04/1985,1290.8
17/04/1985,1304
18/04/1985,1305.5
19/04/1985,1299.7
22/04/1985,1294.9
23/04/1985,1284.9
24/04/1985,1285.7
25/04/1985,1289.5
26/04/1985,1295.3
29/04/1985,1292.9
30/04/1985,1291
01/05/1985,1301.5
02/05/1985,1309.1
03/05/1985,1310.9
06/05/1985,1310.9
07/05/1985,1305.5
08/05/1985,1307.9
09/05/1985,1306.3
10/05/1985,1315.8
13/05/1985,1333
14/05/1985,1326.5
15/05/1985,1342.4
16/05/1985,1336.1
17/05/1985,1327.4
20/05/1985,1330.8
21/05/1985,1334.1
22/05/1985,1333.8
23/05/1985,1325.3
24/05/1985,1313.8
27/05/1985,1313.8
28/05/1985,1317.4
29/05/1985,1312
30/05/1985,1314.7
31/05/1985,1313
03/06/1985,1324.6
04/06/1985,1336.6
05/06/1985,1335.9
06/06/1985,1322
07/06/1985,1310.6
10/06/1985,1299.6
11/06/1985,1308.1
12/06/1985,1291.4
13/06/1985,1278.9
14/06/1985,1275.5
17/06/1985,1284.4
18/06/1985,1284
19/06/1985,1284.1
20/06/1985,1276.3
21/06/1985,1262
24/06/1985,1266.6
25/06/1985,1248.3
26/06/1985,1236.5
27/06/1985,1234.3
28/06/1985,1234.9
01/07/1985,1246.8
02/07/1985,1250.8
03/07/1985,1239.3
04/07/1985,1249.1
05/07/1985,1260
08/07/1985,1258.2
09/07/1985,1239.6
10/07/1985,1230.4
11/07/1985,1238.4
12/07/1985,1230.8
15/07/1985,1243.6
16/07/1985,1239.5
17/07/1985,1247.3
18/07/1985,1248.6
19/07/1985,1252.5
22/07/1985,1241.1
23/07/1985,1233.1
24/07/1985,1236.2
25/07/1985,1221.7
26/07/1985,1239.7
29/07/1985,1248.9
30/07/1985,1252.3
31/07/1985,1261.7
01/08/1985,1287.2
02/08/1985,1280.4
05/08/1985,1271.8
06/08/1985,1287.5
07/08/1985,1286.6
08/08/1985,1286
09/08/1985,1286.3
12/08/1985,1288.1
13/08/1985,1285.1
14/08/1985,1293.1
15/08/1985,1302.2
16/08/1985,1299.1
19/08/1985,1294.9
20/08/1985,1307.1
21/08/1985,1313.9
22/08/1985,1309.7
23/08/1985,1313.5
26/08/1985,1313.5
27/08/1985,1310.8
28/08/1985,1308.2
29/08/1985,1323.9
30/08/1985,1340.8
02/09/1985,1340.3
03/09/1985,1335.5
04/09/1985,1326.7
05/09/1985,1322
06/09/1985,1332.2
09/09/1985,1329.3
10/09/1985,1311.4
11/09/1985,1302.2
12/09/1985,1313.3
13/09/1985,1308.8
16/09/1985,1300.2
17/09/1985,1296
18/09/1985,1294.8
19/09/1985,1306.8
20/09/1985,1298.7
23/09/1985,1292.1
24/09/1985,1280.1
25/09/1985,1275.2
26/09/1985,1270.8
27/09/1985,1280.7
30/09/1985,1290
01/10/1985,1296
02/10/1985,1305.4
03/10/1985,1305.3
04/10/1985,1313
07/10/1985,1306.9
08/10/1985,1303.3
09/10/1985,1308.1
10/10/1985,1314.1
11/10/1985,1322.3
14/10/1985,1321.2
15/10/1985,1320.9
16/10/1985,1326.2
17/10/1985,1335.7
18/10/1985,1341.2
21/10/1985,1340.3
22/10/1985,1331.5
23/10/1985,1346.4
24/10/1985,1349.6
25/10/1985,1347.6
28/10/1985,1347.8
29/10/1985,1364.4
30/10/1985,1373.8
31/10/1985,1377.2
01/11/1985,1379
04/11/1985,1380.9
05/11/1985,1383.7
06/11/1985,1395
07/11/1985,1384.8
08/11/1985,1390.1
11/11/1985,1375.5
12/11/1985,1381.6
13/11/1985,1396.9
14/11/1985,1391.7
15/11/1985,1403.9
18/11/1985,1405.1
19/11/1985,1412.1
20/11/1985,1424.3
21/11/1985,1443.1
22/11/1985,1451
25/11/1985,1455.5
26/11/1985,1431.9
27/11/1985,1438
28/11/1985,1429.3
29/11/1985,1439.1
02/12/1985,1418.5
03/12/1985,1415.6
04/12/1985,1399.6
05/12/1985,1395.3
06/12/1985,1401.9
09/12/1985,1392.2
10/12/1985,1389.5
11/12/1985,1377.4
12/12/1985,1378.5
13/12/1985,1381.4
16/12/1985,1376.5
17/12/1985,1365.4
18/12/1985,1378.8
19/12/1985,1390.7
20/12/1985,1386.5
23/12/1985,1388.6
24/12/1985,1391.5
25/12/1985,1391.5
26/12/1985,1391.5
27/12/1985,1398.9
30/12/1985,1413.6
31/12/1985,1412.6
01/01/1986,1412.6
02/01/1986,1420.5
03/01/1986,1429.8
06/01/1986,1424.1
07/01/1986,1415.2
08/01/1986,1404.2
09/01/1986,1379.6
10/01/1986,1394.5
13/01/1986,1384.6
14/01/1986,1370.1
15/01/1986,1390.5
16/01/1986,1394.5
17/01/1986,1396
20/01/1986,1378.3
21/01/1986,1378.1
22/01/1986,1390.9
23/01/1986,1382.8
24/01/1986,1392
27/01/1986,1405
28/01/1986,1426.3
29/01/1986,1421
30/01/1986,1429.1
31/01/1986,1435
03/02/1986,1425.1
04/02/1986,1431.6
05/02/1986,1424.1
06/02/1986,1426.9
07/02/1986,1445
10/02/1986,1461.5
11/02/1986,1453.9
12/02/1986,1470
13/02/1986,1473.5
14/02/1986,1477.9
17/02/1986,1475.3
18/02/1986,1491.9
19/02/1986,1491.4
20/02/1986,1492.1
21/02/1986,1518
24/02/1986,1533
25/02/1986,1527.7
26/02/1986,1534.6
27/02/1986,1549.5
28/02/1986,1543.9
03/03/1986,1534.9
04/03/1986,1548.9
05/03/1986,1569.1
06/03/1986,1566.1
07/03/1986,1573.8
10/03/1986,1572.2
11/03/1986,1597.1
12/03/1986,1624.5
13/03/1986,1616.7
14/03/1986,1624.4
17/03/1986,1622.6
18/03/1986,1644.4
19/03/1986,1659.8
20/03/1986,1690.1
21/03/1986,1688.3
24/03/1986,1663.9
25/03/1986,1633.8
26/03/1986,1653.9
27/03/1986,1668.8
28/03/1986,1668.8
31/03/1986,1668.8
01/04/1986,1684
02/04/1986,1702.9
03/04/1986,1717.6
04/04/1986,1709.7
07/04/1986,1688.5
08/04/1986,1675.7
09/04/1986,1659
10/04/1986,1690.3
11/04/1986,1694.1
14/04/1986,1683.1
15/04/1986,1654.8
16/04/1986,1662
17/04/1986,1680.9
18/04/1986,1680.2
21/04/1986,1668
22/04/1986,1665.2
23/04/1986,1632.7
24/04/1986,1615.5
25/04/1986,1622.6
28/04/1986,1628.8
29/04/1986,1656.3
30/04/1986,1660.5
