,UK.INDU,UK.SERV,UK.CONS,UK.RETA,UK.BUIL,UK.ESI,,,,,,,,,,
Jan-85,-2.1,NA,-16,25,-25,103.7,,,,,,,,,,
Feb-85,-1,NA,-20,21,-25,103.2,,,,,,,,,,
Mar-85,-3,NA,-17,26,-25,103.1,,,,,,,,,,
Apr-85,2,NA,-18,20,-25,105.4,,,,,,,,,,
May-85,-1,NA,-19,13,-25,102.1,,,,,,,,,,
Jun-85,1,NA,-20,14,-25,103.5,,,,,,,,,,
Jul-85,-1,NA,-16,16,-21,103.1,,,,,,,,,,
Aug-85,-1,NA,-19,23,-21,102.6,,,,,,,,,,
Sep-85,-1,NA,-16,13,-20,102.2,,,,,,,,,,
Oct-85,0,NA,-15,16,-20,104.6,,,,,,,,,,
Nov-85,0,NA,-15,17,-19,104.1,,,,,,,,,,
Dec-85,0,NA,-11,18,-19,105.8,,,,,,,,,,
Jan-86,-7,NA,-15,21,-9,100.9,,,,,,,,,,
Feb-86,-2,NA,-18,20,-8,102.8,,,,,,,,,,
Mar-86,-6,NA,-17,14,-7,101.4,,,,,,,,,,
Apr-86,-10,NA,-15,13,-17,98.7,,,,,,,,,,
May-86,-9,NA,-16,16,-17,99.4,,,,,,,,,,
Jun-86,-13,NA,-16,18,-16,96.5,,,,,,,,,,
Jul-86,-11,NA,-15,18,-6,98.9,,,,,,,,,,
Aug-86,-9,NA,-16,19,-5,100.4,,,,,,,,,,
Sep-86,-9,NA,-14,19,-4,101.6,,,,,,,,,,
Oct-86,-6,NA,-13,18,-4,103.6,,,,,,,,,,
Nov-86,-3,NA,-8,20,-3,106.6,,,,,,,,,,
Dec-86,-4,NA,-10,21,-3,106.1,,,,,,,,,,
Jan-87,-1,NA,-10,19,-5,107.0,,,,,,,,,,
Feb-87,3,NA,-4,22,-4,112.3,,,,,,,,,,
Mar-87,4,NA,-3,21,-3,112.9,,,,,,,,,,
Apr-87,5,NA,0,25,4,115.5,,,,,,,,,,
May-87,10,NA,0,28,5,119.4,,,,,,,,,,
Jun-87,12,NA,2,23,6,121.5,,,,,,,,,,
Jul-87,11,NA,0,26,14,120.2,,,,,,,,,,
Aug-87,18,NA,2,20,15,124.9,,,,,,,,,,
Sep-87,14,NA,-2,21,16,120.5,,,,,,,,,,
Oct-87,19,NA,1,25,29,126.6,,,,,,,,,,
Nov-87,20,NA,-1,21,30,126.9,,,,,,,,,,
Dec-87,17,NA,-1,17,32,122.7,,,,,,,,,,
Jan-88,22,NA,1,27,28,127.2,,,,,,,,,,
Feb-88,18,NA,-1,25,29,124.4,,,,,,,,,,
Mar-88,17,NA,-1,25,30,123.6,,,,,,,,,,
Apr-88,16,NA,-2,19,26,121.6,,,,,,,,,,
May-88,18,NA,1,27,27,125.0,,,,,,,,,,
Jun-88,16,NA,0,25,28,122.8,,,,,,,,,,
Jul-88,18,NA,1,22,29,123.8,,,,,,,,,,
Aug-88,19,NA,-1,29,30,125.0,,,,,,,,,,
Sep-88,18,NA,-1,24,31,124.4,,,,,,,,,,
Oct-88,15,NA,-4,21,31,121.0,,,,,,,,,,
Nov-88,12,NA,-4,20,33,118.2,,,,,,,,,,
Dec-88,13,NA,-8,14,34,118.2,,,,,,,,,,
Jan-89,11,NA,-6,13,41,116.8,,,,,,,,,,
Feb-89,5,NA,-5,5,42,113.2,,,,,,,,,,
Mar-89,3,NA,-9,10,43,110.8,,,,,,,,,,
Apr-89,1,NA,-9,12,34,108.6,,,,,,,,,,
May-89,-1,NA,-8,10,35,108.5,,,,,,,,,,
Jun-89,-2,NA,-12,8,36,106.4,,,,,,,,,,
Jul-89,1,NA,-11,3,26,107.6,,,,,,,,,,
